Borough,Location,Spaces,Times of Operation,Rank No.,Notes
Camden,King’s Cross Bridge,2,24 hours,5237,TLRN
Camden,"Lincoln’s Inn Fields (north eastern
side)",4,24 hours,5676,Rest rank
Camden,Lincoln’s Inn Fields (east side),3,24 hours,4205,
Camden,Osnaburgh Terrance/Albany Street (The Melia White House),4,24 hours,5405,TLRN
Camden,Outer Circle (London Zoo),8,24 hours,5886,
Camden,Pancras Road (King’s Cross Station),36,24 hours,5708,
Camden,Queens Square (east side),2,24 hours,4203,
Camden,"Rosslyn Hill, Hampstead",10,24 hours,5609,
Camden,"Russell Square (north west arm, south east side)",11,24 hours,5701,Refreshment rank
Camden,Tavistock Square (Tavistock Hotel),2,24 hours,4557,
Camden,Tavistock Square (north side),2,24 hours,5449,
Camden,The Stables (Chalk Farm Road),2,"    Monday to Friday 18:00 – 04:00
    Saturday and Sunday 09:30 – 04:00",5772,
Camden,Tottenham Court Rd (Grafton Way/Sainsbury’s),3,24 hours,5433,
Camden,Tottenham Court Road (Dominion Theatre),4,24 hours,5358,
Camden,Tottenham Court Road (Spearmint Rhinos ),2,22:00 – 04:00,5638,
Camden,Tottenham Court Rd (Heals),2,24 hours,5399,
Camden,"Unnamed Service Road (O2 Centre), Finchley Road",2,24 hours,5818,
Croydon,Cherry Orchard Road (East Croydon Station),16,24 hours,5492,
Croydon,"High Street, Croydon",10,24 hours,5628,
Croydon,Lansdowne Road,5,24 hours,5797,
Croydon,London Road (West Croydon Station),2,24 hours,5142,
Croydon,Mayday Road (Mayday Hospital),2,24 hours,5012,
Croydon,Park Street,3,18:00 – 06:00,5656,
Croydon,Poplar Walk (Marks and Spencer),2,24 hours,5618,
Croydon,South End,2,19:00 – 03:00,5462,
Croydon,Station Road (Norwood Junction Station),2,24 hours,5845,
Croydon,Waddon Way (Hilton),3,24 hours,5320,
Croydon,Whytecliffe Road (Purley Station),6,16:00 – 06:00,5704,
Croydon,"Woburn Avenue, (Sainsbury's),",2,24 hours,5011,
Ealing,Boston Manor (Boston Manor Station),2,Friday and Saturday 22:00 – 06:00,5989,
Ealing,Greenford Road (Tesco),2,24 hours,5659,
Ealing,Haven Green (Ealing Broadway Station),25,24 hours,5741,
Ealing,"High Street, Ealing",4,22:00 – 06:00,5543,
Ealing,Leeland Terrace (Sainsbury’s),2,24 hours,5550,
Ealing,"Northfields Avenue (Northfields
Station)",3,"Friday and Saturday
22:00 – 06:00",5990,
Ealing,Queen’s Drive (West Acton Station),2,Friday and Saturday 22:00 – 06:00,5992,
Ealing,"South Ealing Road (South Ealing
Station)",2,24 hours,5785,
Ealing,Victoria Road (North Acton Station),2,Friday and Saturday 22:00 – 06:00,5991,
Enfield,Alderman’s Hill (Morrisons),2,24 hours,5428,
Enfield,"Ashfield Parade, Southgate",5,24 hours,5794,
Enfield,Bowes Road (Arnos Grove Station),2,24 hours,5422,
Enfield,Chalk Lane (Cockfosters Station),2,24 hours,5343,
Enfield,Chase Side/The Bourne (Southgate Station),6,"    1st and 3rd portion operates 18:30 – 02:00
    2nd portion operates 24 hours",5780,
Enfield,"Lodge Drive, Palmers Green",2,24 hours,5069,
Enfield,"Montagu Road, Edmonton",5,Public and Jewish holidays only,5201,
Enfield,"New River Loop Car Park, Enfield Town",2,24 hours,5646,
Enfield,Station Forecourt (Oakwood Station),2,"Friday and Saturday
23:00 – 05:00",5844,
Greenwich,Calderwood Street (Sainsbury’s),6,24 hours,5244,
Greenwich,Creek Road (Up the Creek Club),2,20:00 – 05:00,5472,
Greenwich,Eltham Station (Glenlea Path),6,24 hours,5871,
Greenwich,Greenwich Church Street (Cutty Sark DLR Station),2,24 hours,5789,
Greenwich,Greenwich Church Street (Cutty Sark),2,24 hours,5430,
Greenwich,Greenwich Church Street (Greenwich Market),2,19:00 – 07:00,5305,
Greenwich,Greenwich Church Street (Village Green Restaurant),2,19:00 – 07:00,6017,Shared use loading bay
Greenwich,"Vincent Road (Woolwich Arsenal Station),",6,24 hours,5674,
Hackney,Calvert Avenue (Shoreditch High Street),3,24 hours,5585,
Hackney,Ebor Street (Shoreditch House),2,24 hours,5700,
Hackney,Hackney Road (Ye Olde Axe),4,19:00 – 07:00,6001,
Hackney,Holywell Lane (Citizen M Hotel),2,19:00 – 07:00,6018,"TLRN
Shared use loading bay"
Hackney,Kingsland High Street (Dalston Kingsland Station),2,19:00 – 07:00,5802,"TLRN
Shared use loading bay"
Hackney,Lesney Avenue (Here East/BT Sport),2,24 hours,5977,
Hackney,"Old Street (Courthouse Hotel), Hoxton",4,24 hours,5640,TLRN
Hackney,Sandringham Road,2,24 hours,5685,
Hackney,Stamford Hill,3,24 hours,4891,TLRN
Hackney,Stoke Newington Road (Birthdays bar),4,19:00 – 07:00,5777,Shared use loading bay
Hackney,Woodberry Down (Seven Sisters Road),5,24 hours,5608,
Hammersmith and Fulham,Erconwald Street (East Acton Station),3,Friday and Saturday 22:00 – 06:00,5987,
"Hammersmith
and Fulham","Hammersmith Broadway
(Hammersmith Station)",4,24 hours,5396,
Hammersmith and Fulham,Hammersmith Road (Olympia),5,24 hours,3207,
Hammersmith and Fulham,Hurlingham Road (Hurlingham Park),12,Only in operation during designated events,5882,
"Hammersmith
and Fulham","Margravine Gardens (Barons Court
Station)",4,"Friday and Saturday
22:00 – 06:00",5988,
Hammersmith and Fulham,Shortlands (Novotel London West Hotel),5,24 hours,4595,
Hammersmith and Fulham,"Uxbridge Road, Shepherds Bush",3,24 hours,5552,
"Hammersmith
and Fulham",Wood Lane (White City Station),3,"Friday and Saturday
22:00 – 06;00",,
Haringey,Archway Road (Highgate Station),2,22:00 – 07:00,5981,TLRN
Haringey,Alexandra Palace (East Car Park),10,"Only in operation during
designated larger events",5745,
Haringey,Alexandra Palace (Outside main entrance to Palm Court/Bus Stop B),4,Only in operation during designated smaller events,5746,
Haringey,"Crouch End Hill, Crouch End",2,24 hours,5615,
Haringey,"Dukes Avenue, Muswell Hill",2,24 hours,5755,
Haringey,High Road/Gladstone Avenue (Wood Green Station),7,24 hours,5527,
Haringey,High Road (Lymington Avenue),2,24 hours,5564,
Haringey,Langham Road (Turnpike Lane Station),2,24 hours,5874,
Haringey,Lordship Lane,2,24 hours,5526,
Haringey,Seven Sisters Road (Seven Sisters Road),2,19:00 – 07:00,5982,Shared use parking bay
Harrow,"Broadway Parade, Pinner Road",2,24 hours,4936,
Harrow,"College Road (Harrow on the Hill
Station)",14,24 hours,5530,
Harrow,Hailsham Drive (Harrow Court),3,24 hours,4979,
Harrow,Rayners Lane (Rayners Lane Station),4,24 hours,5693,
Harrow,Service Road (Harrow and Wealdstone Station),3,24 hours,5401,
Harrow,"South Hill Avenue (South Harrow
Station)",2,24 hours,5391,
Harrow,"Station Road, Harrow",3,24 hours,4903,
Havering,Atlanta Boulevard (northern arm),3,24 hours,5716,
Havering,Collier Row Road,2,24 hours,5858,
Havering,Crossways (Gidea Park Station),3,24 hours,4999,
Havering,Damyns Hall Aerodrome,20,Only in operation during designated events,5803,
Havering,Dolphin Approach,3,24 hours,4965,
Havering,Eastern Road (Romford Station),23,24 hours,5850,
Havering,Havana Close,2,24 hours,5574,
Havering,High Street (George II)/Billet Lane,22,21:00 - 05:00,5852,
Havering,"High Street, Romford",21,24 hours,5848,
Havering,"121 High Street, Hornchurch",2,18:00 – 06:00,5764,Shared use loading bay
Havering,"128 High Street, Hornchurch",3,18:00 – 06:00,5765,Shared use loading bay
Havering,"154 High Street, Hornchurch",3,24 hours,5766,
Havering,Hilldene Avenue,2,24 hours,5883,
Havering,Station Lane (Hornchurch Station),2,24 hours,6019,
Havering,Leather Lane (Sainsbury’s),3,24 hours,5001,
Havering,London Road (Romford Stadium),3,22:00 – 23.00,5147,
Havering,Station Road/Hall Lane (Upminster Station),9,24 hours,4865,
Havering,Station Road (Harold Wood Station),6,24 hours,4693,
Havering,The Broadway (Elm Park Station),10,24 hours,5547,
Havering,Upminster Road (Upminster Bridge Station),4,18:00 – 07:30,5857,Shared use loading bay
Hillingdon,"Great Central Avenue (South Ruislip
Station)",2,24 hours,3569,
Hillingdon,"High Street, (Uxbridge Station)",7,24 hours,5605,
Hillingdon,Reservoir Road (Ruislip Lido),2,24 hours,3763,
Hillingdon,Ruislip Gardens Station Service Road (Ruislip Gardens Station),2,24 hours,5949,
Hillingdon,Station Approach (Ruislip Station),2,24 hours,5945,
Hounslow,Bath Road (Hounslow West Station),2,24 hours,5556,
Hounslow,"Boston Manor Road (Boston Manor
Park)",12,"Only in operation during
designated events",5881,
Hounslow,Chiswick High Road (Gunnersbury Station),2,24 hours,5551,
Hounslow,Great West Road (Osterley Station),2,24 hours,6013,
Hounslow,"Heathfield Terrace, Chiswick",2,24 hours,5218,
Hounslow,Lampton Road,2,24 hours,5597,
Hounslow,Turnham Green Terrace (Turnham Green Station),4,24 hours,5494,
Islington,Berners Road (Business Design Centre),2,24 hours,5435,
Islington,Britannia Walk (Montcalm Hotel),2,24 hours,5885,
Islington,Bunhill Row,3,24 hours,5477,
Islington,Charterhouse Street,7,13: 00 – 07:00,5791,
Islington,City Road (Moorfields Eye Hospital),2,24 hours,5116,TLRN
Islington,Duncan Street (Camden Passage),1,24 hours,5384,
Islington,Finsbury Park (Bus Station/Station Place),4,"    1st portion operates 24 hours
    2nd portion operates 19:00 – 07:00",5870,"2nd portion is in a shared use loading bay
Island rank Haringey drivers"
Islington,Finsbury Pavement,4,24 hours,5290,
Islington,"Finsbury Square (North West Corner), City Road",5,24 hours,5807,
Islington,Goswell Road (Citadines Apart’Hotel),2,24 hours,5155,
Islington,Gwynne Place (Travelodge),2,24 hours,5570,
Islington,Holloway Road (Waitrose),2,24 hours,5136,TLRN
Islington,"Junction Road, Archway",4,19:00 – 02:00,5786,"Island rank
Haringey drivers"
Islington,Lever Street (The Thistle City Barbican Hotel),3,24 hours,5044,
Islington,Liverpool Road (Sainsbury’s),4,24 hours,5720,
Islington,Ropemaker Street,3,24 hours,5643,
Kensington and Chelsea,Brompton Road (Harrods),8,24 hours,5318,TLRN
Kensington and Chelsea,Brompton Road (The Collection),2,21:00 – 03:00,5757,
"Kensington and
Chelsea","Cadogan Place (Jumeirah Carlton
Tower)",5,24 hours,5152,
Kensington and Chelsea,Cadogan Place/Pont Street,18,24 hours,5479,Refreshment rank
Kensington and Chelsea,Chesham Place (Belgraves),2,24 hours,5616,
"Kensington and
Chelsea",Cheyne Walk (western arm),1,24 hours,4713,
Kensington and Chelsea,Courtfield Road (Holiday Inn),2,24 hours,5719,
Kensington and Chelsea,Courtfield Road (Gloucester Road Station),3,24 hours,5084,
Kensington and Chelsea,Cromwell Gardens (V & A Museum),5,24 hours,5319,TLRN
"Kensington and
Chelsea",Cromwell Road (Bratts),3,00:00 – 06:00,5111,TLRN
"Kensington and
Chelsea","Cromwell Road (Natural History
Museum)",2,24 hours,5817,TLRN
"Kensington and
Chelsea",Cromwell Road (Queensberry Place),2,00:00 – 06:00,5577,TLRN
"Kensington and
Chelsea",Derry Street (Roof Gardens,2,24 hours,5663,
Kensington and Chelsea,Earl’s Court Road (Earl’s Court Station),2,22:00 – 07:00,5835,"TLRN
Shared use loading bay"
Kensington and Chelsea,Hans Crescent/Basil Street (Harrods),8,24 hours,5658,
Kensington and Chelsea,Hans Road (Harrods door 10),4,24 hours,5514,
Kensington and Chelsea,Harrington Gardens (Millennium Gloucester London Hotel),5,24 hours,4580,
"Kensington and
Chelsea","Harrington Road (South Kensington
Station)",11,24 hours,5666,
Kensington and Chelsea,Holland Park Avenue (London Kensington Hilton),6,24 hours,5299,
"Kensington and
Chelsea","Kensington High Street (Bodo
Schloss)",2,22:00 – 05:00,5892,
Kensington and Chelsea,Kensington Park Road (Ladbroke Road),18,24 hours,3995,Refreshment rank
"Kensington and
Chelsea",Kensington Road (Broadwalk),12,24 hours,5149,Refreshment rank
"Kensington and
Chelsea",Kensington Road (Kensington Court),3,24 hours,4858,
"Kensington and
Chelsea",King’s Road (Duke of York’s Square),3,24 hours,5465,
Kensington and Chelsea,King’s Road (Bluebird),2,13:00 – 02:00,5313,
Kensington and Chelsea,King’s Road (Raffles),2,22:00 – 05:00,5694,
Kensington and Chelsea,Lower Sloane Street (Sloane Club),1,24 hours,5091,
Kensington and Chelsea,Pavilion Road (Millennium Knightsbridge Hotel),1,24 hours,5160,
"Kensington and
Chelsea",Portobello Road (Electric Diner),3,21:00 – 03:00,5790,
Kensington and Chelsea,Queen's Gate (Kensington Road),1,24 hours,4435,
Kensington and Chelsea,Queen's Gate (Old Brompton Road),3,24 hours,4034,
"Kensington and
Chelsea","Royal Hospital Chelsea (Chelsea
Flower Show)",9,"Only in operation during the
Chelsea Flower show",5754,
Kensington and Chelsea,Russell Road (London Olympia Hilton),6,24 hours,5496,
Kensington and Chelsea,Scarsdale Place (Copthore London Tara Hotel),5,24 hours,4556,
Kensington and Chelsea,Seville Street (Sheraton Park Tower),6,24 hours,4638,
"Kensington and
Chelsea",Sloane Avenue (Conrans),3,24 hours,5322,
"Kensington and
Chelsea",Sloane Avenue (Nell Gwynne House),1,24 hours,4928,
"Kensington and
Chelsea",Sloane Square,9,24 hours,5512,
"Kensington and
Chelsea",Thurloe Place,13,24 hours,4645,"TLRN
Refreshment rank"
Kensington and Chelsea,Walton Street,2,22:00 – 05:00,5706,
Kensington and Chelsea,Westbourne Grove (Portobello Road),4,24 hours,5622,
Kingston Upon Thames,Clarence Street (John Lewis),6,24 hours,5707,
Kingston Upon Thames,Clarence Street (Pryzm),8,"    1st Portion operates 20:00 - 07:00
    2nd Portion operates 22:00 - 07:00",5446,
Kingston Upon Thames,Clarence Street (Weston Park),3,24 hours,5215,
Kingston Upon Thames,Down Hall Road (Hilton Double Tree Hotel),2,24 hours,6010,
"Kingston Upon
Thames",Eden Street (Primark),4,24 hours,5427,
Kingston Upon Thames,High Street (Rose Theatre),4,"    1st portion operates 19:00 - 02:00
    2nd portion operates 10:30 - 02:00",5781,
Kingston Upon Thames,"High Street, New Malden",3,Mondays to Saturdays 08:00 - 18:30,5561,
"Kingston Upon
Thames",Surbiton Parade (Surbiton Station),5,24 hours,4980,
"Kingston Upon
Thames",Union Street (The Hippodrome),2,21:30 - 07:00,5661,
"Kingston Upon
Thames",Victoria Road (Sainsbury’s),1,24 hours,5221,
"Kingston Upon
Thames",Wood Street (Kingston Station),5,05:00 – 22:30,6020,South Side
Kingston Upon Thames,Wood Street (Kingston Station),5,22:30 – 05:00,6021,North Side
Lambeth,Albert Embankment (Park Plaza Riverbank Hotel),2,24 hours,5581,
Lambeth,Belvedere Road (London Eye),2,24 hours,5563,
Lambeth,Clapham High Street,9,19:00 - 07:00,5787,"TLRN
Shared use loading bay
Island Rank Clapham extension area"
Lambeth,Clapham Road (Stockwell Station),2,19:00 – 07:00,6014,"TLRN
Shared use loading bay"
Lambeth,Kennington Oval (East side),3,24 hours,5134,
Lambeth,Lambeth Road (Novotel),3,24 hours,5314,
Lambeth,"South Lambeth Place, Vauxhall",4,24 hours,5533,TLRN
Lambeth,"South Lambeth Road (Vauxhall
Station)",2,24 hours,5490,
Lambeth,"The Pavement (Clapham Common
Station)",11,24 hours,5793,TLRN
Lambeth,Upper Ground (ITV),1,24 hours,5279,
Lewisham,Amersham Vale (New Cross Station),3,24 hours,5345,
Lewisham,Fernbrook Road (Hither Green Station),5,"    1st portion operates 24 hours
    2nd portion operates 16:00 – 07:00",6011,2nd portion shared use loading bay
Lewisham,Lewis Grove/Albion Way,7,24 hours,6003,
Lewisham,Lewisham Station,19,24 hours,6002,
Lewisham,New Cross Road (The Venue),4,22:00 – 06:00,6007,TLRN
Merton,"Aberconway Road, Morden",6,24 hours,4805,TLRN
Merton,"Alexandra Road, Wimbledon",2,24 hours,5691,
Merton,"Church Road, Wimbledon (Gate 4
South)",30,"Operates only during tennis
championships",5587,
Merton,Christchurch Road (Colliers Wood Station),3,19:00 – 07:00,5985,"TLRN
Shared use loading bay"
Merton,Coombe Lane (Raynes Park Station),2,"    Monday to Saturday not in operation between
07.00 – 10.00 and 16.00 - 19.00
    Sunday operates 24 hours",5634,
Merton,"High Street, Wimbledon",2,24 hours,5210,
Merton,London Road (Morden Station),4,19:00 – 07:00,5721,"TLRN
Shared use loading bay"
Merton,Morden Road (South Wimbledon Station),2,Friday and Saturday 22:00 – 06:00,5995,
Merton,"Somerset Road, Wimbledon",8,Operates only during tennis championships,5588,
Merton,The Broadway (Po Na Na),2,22:00 – 06:00,5128,
Merton,The Broadway (Centre Court Shopping Centre),2,24 hours,5679,
Merton,"Orinoco Lane, leading to Service Road, Wimbledon Station",4,24 hours,5692,
Merton,Worple Road (Sainsbury’s),3,24 hours,5382,
Newham,Cam Road (Gala Bingo Club),4,24 hours,5485,
Newham,High Street (East Ham Station),2,24 hours,5808,
Newham,"Kempton Road, East Ham",6,24 hours,5180,
Newham,Memorial Avenue (West Ham Station),2,19.00 – 07.00,5826,
Newham,"Montfichet Road (Westfield Shopping
Centre/Stratford Station)",4,24 hours,5983,
Newham,Plaistow Road (Plaistow Station),7,24 hours,5505,
Newham,Queen’s Road (Upton Park Station),2,Not in operation during match days at the Boleyn Ground,5827,
Newham,Romford Road (Bow County Court),2,24 hours,5429,
Newham,Roundhouse Lane (Westfield Shopping Centre/Premier Inn Hotel),11,24 hours,5984,
Newham,Silvertown Way (Canning Town Interchange),2,24 hours,5301,
Newham,Station Street (Stratford Station),13,24 hours,6026,
Newham,Stratford International Station/Bus Station,10,24 hours,5979,
Newham,"The Broadway (Broadway shopping
centre)",7,24 hours,5459,
Newham,Westfield Avenue (Westfield Shopping Centre/Cow Public House),5,24 hours,5978,
Redbridge,Balfour Road (Ilford Station),7,24 hours,6032,
Redbridge,Belgrave Road (Ilford Station),2,24 hours,6012,
Redbridge,"Clarence Avenue, Ilford",5,24 hours,5673,
Redbridge,"Court Way, Barkingside",4,24 hours,5537,
Redbridge,Cranbrook Road (Faces),8,22:00 – 06:00,5630,
Redbridge,Fairlop Station Forecourt,2,22:00 – 06:00,5824,
Redbridge,"George Lane (Sainsbury’s), South Woodford",3,24 hours,5680,
Redbridge,George Lane (Lizard Lounge),3,"    Monday to Saturday operates
18:30 – 08:30
    Sunday operates 24 hours",5795,Shared use pay and display bays
Redbridge,"81 George Lane (South Woodford
Station)",2,"Friday and Saturday operates
22:00 – 06:00",5841,"Shared use parking
bay"
Redbridge,97 George Lane (South Woodford Station),2,Friday and Saturday operates 22:00 – 06:00,5840,Shared use parking bay
Redbridge,High Road (Clements Road),2,00:00 - 06:00,5575,
Redbridge,High Road (Funky Mojoe),2,19:00 - 07:00,5782,"Shared use loading
bay"
Redbridge,High Road (The Exchange),8,24 hours,5544,
Redbridge,Newbury Park Station,2,24 hours,5813,
Redbridge,Perth Road (Gants Hill Station),2,"Friday and Saturday operates
22:00 – 06:00",5838,
Redbridge,Service Road Entrance to Wanstead Station Car Park (Wanstead Station),2,22:00 – 06:00,5825,
Redbridge,Snakes Lane East (Woodford Station),2,"Friday and Saturday operates
22:00 – 06:00",5843,
Redbridge,Tanners Lane (Sainsbury’s),2,24 hours,4956,
Redbridge,Woodford Station Car Park (Woodford Station),2,Friday and Saturday operates 22:00 – 06:00,5842,
"Richmond Upon
Thames",George Street (Tesco Metro),2,24 hours,5747,
Richmond Upon Thames,"Hill Street, Richmond",3,19:00 - 07:00,5454,
Richmond Upon Thames,Kew Road (Richmond Station),30,"    3rd and 4th portions operate 19:00 - 07:00
    All other portions operate 24 hours",5815,3rd and 4th portions in shared use loading bays
Richmond Upon Thames,Kew Road (Kew Gardens),10,Only in operation for designated events in Kew Gardens,5887,
Richmond Upon Thames,London Road (Twickenham Station),7,19:00 – 07:00,5994,
Richmond Upon Thames,Station Road (Teddington Station),2,07:00 - 00:00,5749,
"Richmond Upon
Thames",Victoria Road (Teddington Station),2,07:00 - 00:00,5750,
"Richmond Upon
Thames",Whittaker Avenue (All Bar One),3,19:00 - 07:00,5748,
Southwark,240 Blackfriars Road,1,24 hours,5822,TLRN
Southwark,Bermondsey Street,7,24 hours,5884,
Southwark,Camberwell Green,2,24 hours,5491,TLRN
Southwark,Holland Street (Tate Modern),7,24 hours,5996,
Southwark,Lambeth Road (Imperial War Museum),2,24 hours,5548,
Southwark,Meymott Street (Novotel Hotel),1,24 hours,5865,
Southwark,New Globe Walk (Globe Theatre),3,24 hours,5415,
Southwark,New Kent Road,3,24 hours,5558,TLRN
Southwark,Southwark Street (Borough High Street),2,24 hours,5578,TLRN
Southwark,Southwark Street (O’Meara Street),1,24 hours,5502,
Southwark,Surrey Quays Road (Canada Water Station),4,19:00 – 07:00,5946,Shared use loading bay
Southwark,St Thomas Street,6,24 hours,5876,
Southwark,Printworks (Southwark),40,Only in operation during designated events,5971,
Southwark,Upper Ground (The Mondrian Hotel),3,24 hours,5814,
Sutton,Cheam Road (Liquid),3,23:00 - 03:00,5498,
Sutton,"High Street/Mulgrave Road (Sutton
Station)",12,24 hours,5482,
Sutton,"Marshall’s Road, Sutton",2,Monday to Saturday operates 08:00 - 18.30,5705,
Sutton,Wrythe Lane (St. Helier Hospital),3,24 hours,5056,
Tower Hamlets,Bethnal Green Road (Tesco),4,"Sundays does not operate between 07:00 - 10:00 and 17:00
- 20:00",5642,
Tower Hamlets,"Columbia Road (Columbia Flower
Market)",2,Sunday only 09:00 – 15:00,5849,
Tower Hamlets,East Smithfield (Royal Mint Court),3,24 hours,5451,TLRN
Tower Hamlets,"Mile End Road/Maplin Street, (Mile End Station)",7,24 hours,5675,TLRN
Tower Hamlets,"Royal Gate West, Victoria Park",15,Only in operation during designated events,5762,
Tower Hamlets,St. Stephen's Road (Roman Road Market),1,24 hours,5557,
Tower Hamlets,Trinity Square (Tower Hill Station),2,24 hours,5269,
Waltham Forest,Church Lane (Leytonstone Station),2,24 hours,5368,
Waltham Forest,"Grove Green Road (Leytonstone
Station)",2,24 hours,5439,
Waltham Forest,Lea Bridge Road (Ibis Styles Hotel),2,24 hours,5792,
Waltham Forest,Selborne Road (north side of Walthamstow Central Station),2,19:00 – 05:00,5235,
Waltham Forest,"Selborne Road (Walthamstow Central
Station)",5,16:00 – 06:00,6008,
Wandsworth,"Augustus Road, Southfields",19,Operates only during tennis championships,5639,
Wandsworth,Balham Hill (Clapham South Station),2,19:00 – 07:00,5836,"TLRN
Shared use loading bay"
Wandsworth,Balham Station Road (Balham Station),7,24 hours,5665,
Wandsworth,Battersea Park (Chelsea Gate),12,"Operates during designated
event",5888,
Wandsworth,Garratt Lane (Arndale/Southside),6,24 hours,5644,"Island rank Merton
and Sutton drivers"
Wandsworth,Garratt Lane (Sainsbury's),5,24 hours,5086,Island rank Merton and Sutton drivers
Wandsworth,High Street (Putney Station),4,24 hours,5751,Island rank Richmond upon Thames drivers
Wandsworth,"Mitcham Road (Tooting Broadway
Station)",2,24 hours,5006,"Island rank Merton
and Sutton drivers"
Wandsworth,Northcote Road,4,19:00 – 07:00,5798,TLRN
Wandsworth,Stapleton Road (Tooting Bec Station),2,19:00 – 07:00,5980,Shared use loading bay
