,Borough,Location,Spaces,Times of Operation,Rank No.,Notes,Longitude,Latitude
31,Bromley,Orpington Station/Crofton Road,14,    1st and 2nd portions operates 24 hours     3rd portion operates 18:00 – 06:00,5877,3rd portion is in a shared use loading bay,0.08912,51.37329
32,Bromley,"Petts Wood Square (Petts Wood Station), Orpington, Kent",2,16:00 – 02:00,5475,,0.0749346,51.3893273
33,Bromley,"Station Approach (Hayes Station), Kent",2,17:00 – 01:00,5531,,0.0108849,51.3773921
34,Bromley,"Walters Yard (Sainsbury’s), Bromley",6,24 hours,5105,,0.0144701,51.4066367
35,Bromley,Widmore Road (Bibas),5,00:00 – 03:00,5061,,0.0169803,51.4062413
36,Camden,Bayley Street (My Hotel Bloomsbury),2,24 hours,4139,,-0.1319172,51.5188555
37,Camden,Bedford Avenue (St. Giles Hotel),2,24 hours,5043,,-0.1308194,51.5175189
38,Camden,Bedford Row,3,24 hours,4204,Rest rank,-0.1160647,51.5198943
39,Camden,Bedford Way (Royal National Hotel),2,24 hours,4616,,-0.1271038,51.5236776
40,Camden,Beaumont Place (UCLH),2,24 hours,5997,,-0.1363551,51.5250834
41,Camden,Camden High Street,4,19:00 – 07:00,4835,"Shared use loading
bay",-0.1426218,51.5389287
42,Camden,Camden High Street/Greenland Street,5,24 hours,4312,TLRN,-0.1419259,51.5381411
43,Camden,Canfield Gardens (Finchley Road Station),1,24 hours,5535,TLRN,-0.1798917,51.546951
44,Camden,Canfield Gardens (Waitrose/Finchley Road Station),6,24 hours,5534,TLRN,-0.1795884,51.546203
45,Camden,Cardington Street (Ibis Hotel),2,24 hours,4914,,-0.1357976,51.5279248
46,Camden,Cardington Street (Thistle Euston Hotel),2,24 hours,4427,,-0.1372782,51.5291423
47,Camden,Carey Street (Chancery Lane),4,24 hours,3528,,-0.1115235,51.5152556
48,Camden,Coram Street (Holiday Inn),4,24 hours,5545,,-0.1460253,51.540235
49,Camden,Drury Lane (New London Theatre),3,20:30 – 06:30,5171,,-0.1226493,51.5152673
50,Camden,Grays Inn Road (ITN),2,24 hours,5455,,-0.114136,51.5234388
51,Camden,Great Queen Street (Kingsway Hall Hotel),3,24 hours,5365,,-0.120201,51.515897
52,Camden,Great Russell Street (British Museum),2,24 hours,5233,,-0.1269566,51.5194133
53,Camden,Great Russell Street,3,24 hours,5655,,-0.1271087,51.5179223
54,Camden,Guilford Street (President Hotel),3,24 hours,4878,,-0.124076,51.522277
55,Camden,Hampstead Road (Greater London House),4,19:00 – 16:00,5489,TLRN,-0.1396084,51.5336084
56,Camden,Harrington Square (Mornington Crescent Station),1,19.00 – 07.00,5879,Shared use loading bay,-0.1390384,51.5340651
57,Camden,Hawley Crescent,3,Saturdays and Sundays only,5300,,-0.1429936,51.5410721
58,Camden,High Holborn (Shaftesbury Theatre),4,22:00 – 23:00,5516,,-0.1267694,51.5155077
59,Camden,Holborn (Waterhouse Court),2,Not operational between 07:00 – 10:00,5620,,-0.1145147,51.5175802
60,Camden,"Kilburn High Road (London Marriott Hotel), Maida Vale",3,24 hours,5262,,-0.1900823,51.5355553
61,Camden,King’s Cross Bridge,2,24 hours,5237,TLRN,-0.1209407,51.530553
62,Camden,Lincoln’s Inn Fields (north eastern side),4,24 hours,5676,Rest rank,-0.1143896,51.5167429
63,Camden,Lincoln’s Inn Fields (east side),3,24 hours,4205,,-0.1169159,51.5157873
64,Camden,Osnaburgh Terrance/Albany Street (The Melia White House),4,24 hours,5405,TLRN,-0.143647,51.52528
65,Camden,Outer Circle (London Zoo),8,24 hours,5886,,-0.1534303,51.5352875
66,Camden,Pancras Road (King’s Cross Station),36,24 hours,5708,,-0.1244124,51.5316509
67,Camden,Queens Square (east side),2,24 hours,4203,,-0.1221481,51.5218427
68,Camden,"Rosslyn Hill, Hampstead",10,24 hours,5609,,-0.1705421,51.5538858
69,Camden,"Russell Square (north west arm, south east side)",11,24 hours,5701,Refreshment rank,-0.1249807,51.5221667
70,Camden,Tavistock Square (Tavistock Hotel),2,24 hours,4557,,-0.1281586,51.5242017
71,Camden,Tavistock Square (north side),2,24 hours,5449,,-0.1249079,51.5258366
72,Camden,The Stables (Chalk Farm Road),2,    Monday to Friday 18:00 – 04:00     Saturday and Sunday 09:30 – 04:00,5772,,-0.1463064,51.541636
73,Camden,Tottenham Court Rd (Grafton Way/Sainsbury’s),3,24 hours,5433,,-0.1372252,51.5242326
74,Camden,Tottenham Court Road (Dominion Theatre),4,24 hours,5358,,-0.130143,51.5167472
75,Camden,Tottenham Court Road (Spearmint Rhinos ),2,22:00 – 04:00,5638,,-0.1365444,51.5232663
76,Camden,Tottenham Court Rd (Heals),2,24 hours,5399,,-0.1346757,51.5211364
77,Camden,"Unnamed Service Road (O2 Centre), Finchley Road",2,24 hours,5818,,-0.1819715,51.5480381
78,Croydon,Cherry Orchard Road (East Croydon Station),16,24 hours,5492,,-0.0929471,51.3746332
79,Croydon,"High Street, Croydon",10,24 hours,5628,,-0.1001172,51.3706365
80,Croydon,Lansdowne Road,5,24 hours,5797,,-0.093471,51.3784717
81,Croydon,London Road (West Croydon Station),2,24 hours,5142,,-0.1025508,51.3784356
82,Croydon,Mayday Road (Mayday Hospital),2,24 hours,5012,,-0.1111861,51.3892939
83,Croydon,Park Street,3,18:00 – 06:00,5656,,-0.0983833,51.3734594
84,Croydon,Poplar Walk (Marks and Spencer),2,24 hours,5618,,-0.1017623,51.3773557
85,Croydon,South End,2,19:00 – 03:00,5462,,-0.099043,51.3654358
86,Croydon,Station Road (Norwood Junction Station),2,24 hours,5845,,-0.0750027,51.3972772
87,Croydon,Waddon Way (Hilton),3,24 hours,5320,,-0.1152285,51.3578175
88,Croydon,Whytecliffe Road (Purley Station),6,16:00 – 06:00,5704,,-0.11401,51.33758
89,Croydon,"Woburn Avenue, (Sainsbury's),",2,24 hours,5011,,-0.1177046,51.3757339
90,Ealing,Boston Manor (Boston Manor Station),2,Friday and Saturday 22:00 – 06:00,5989,,-0.3247429,51.495767
91,Ealing,Greenford Road (Tesco),2,24 hours,5659,,-0.2811731,51.5083517
92,Ealing,Haven Green (Ealing Broadway Station),25,24 hours,5741,,-0.3019246,51.5149011
93,Ealing,"High Street, Ealing",4,22:00 – 06:00,5543,,-0.2489958,51.5374539
94,Ealing,Leeland Terrace (Sainsbury’s),2,24 hours,5550,,-0.3253979,51.5092548
95,Ealing,Northfields Avenue (Northfields Station),3,Friday and Saturday 22:00 – 06:00,5990,,-0.3142307,51.4993588
96,Ealing,Queen’s Drive (West Acton Station),2,Friday and Saturday 22:00 – 06:00,5992,,-0.2805145,51.5173115
97,Ealing,South Ealing Road (South Ealing Station),2,24 hours,5785,,-0.3069393,51.5013134
98,Ealing,Victoria Road (North Acton Station),2,Friday and Saturday 22:00 – 06:00,5991,,-0.2597097,51.5234468
99,Enfield,Alderman’s Hill (Morrisons),2,24 hours,5428,,-0.110593,51.6176181
100,Enfield,"Ashfield Parade, Southgate",5,24 hours,5794,,-0.1284453,51.6313167
101,Enfield,Bowes Road (Arnos Grove Station),2,24 hours,5422,,-0.1334419,51.6163551
102,Enfield,Chalk Lane (Cockfosters Station),2,24 hours,5343,,-0.1497377,51.6516667
103,Enfield,Chase Side/The Bourne (Southgate Station),6,    1st and 3rd portion operates 18:30 – 02:00     2nd portion operates 24 hours,5780,,-0.1277873,51.6323049
104,Enfield,"Lodge Drive, Palmers Green",2,24 hours,5069,,-0.1062517,51.6182159
105,Enfield,"Montagu Road, Edmonton",5,Public and Jewish holidays only,5201,,-0.0493483,51.6211499
106,Enfield,"New River Loop Car Park, Enfield Town",2,24 hours,5646,,-0.0799443,51.6529684
107,Enfield,Station Forecourt (Oakwood Station),2,Friday and Saturday 23:00 – 05:00,5844,,-0.1318269,51.6476393
108,Greenwich,Calderwood Street (Sainsbury’s),6,24 hours,5244,,0.0636417,51.4910658
109,Greenwich,Creek Road (Up the Creek Club),2,20:00 – 05:00,5472,,-0.0116522,51.4812801
110,Greenwich,Eltham Station (Glenlea Path),6,24 hours,5871,,0.0525,51.45564
111,Greenwich,Greenwich Church Street (Cutty Sark DLR Station),2,24 hours,5789,,-0.0109331,51.4818003
112,Greenwich,Greenwich Church Street (Cutty Sark),2,24 hours,5430,,-0.0095917,51.4828646
113,Greenwich,Greenwich Church Street (Greenwich Market),2,19:00 – 07:00,5305,,-0.0090864,51.4815373
114,Greenwich,Greenwich Church Street (Village Green Restaurant),2,19:00 – 07:00,6017,Shared use loading bay,-0.009828,51.4809757
115,Greenwich,"Vincent Road (Woolwich Arsenal Station),",6,24 hours,5674,,0.0689395,51.4899958
116,Hackney,Calvert Avenue (Shoreditch High Street),3,24 hours,5585,,-0.0780286,51.5264902
117,Hackney,Ebor Street (Shoreditch House),2,24 hours,5700,,-0.0759327,51.5237811
118,Hackney,Hackney Road (Ye Olde Axe),4,19:00 – 07:00,6001,,-0.0754264,51.5289704
119,Hackney,Holywell Lane (Citizen M Hotel),2,19:00 – 07:00,6018,"TLRN
Shared use loading bay",-0.0786853,51.5241386
120,Hackney,Kingsland High Street (Dalston Kingsland Station),2,19:00 – 07:00,5802,"TLRN
Shared use loading bay",-0.0756712,51.548156
121,Hackney,Lesney Avenue (Here East/BT Sport),2,24 hours,5977,,-0.0224154,51.5475466
122,Hackney,"Old Street (Courthouse Hotel), Hoxton",4,24 hours,5640,TLRN,-0.079615,51.527344
123,Hackney,Sandringham Road,2,24 hours,5685,,-0.0693118,51.5498539
124,Hackney,Stamford Hill,3,24 hours,4891,TLRN,-0.0742445,51.5682272
125,Hackney,Stoke Newington Road (Birthdays bar),4,19:00 – 07:00,5777,Shared use loading bay,-0.0751978,51.5517829
126,Hackney,Woodberry Down (Seven Sisters Road),5,24 hours,5608,,-0.0953475,51.5708928
127,Hammersmith and Fulham,Erconwald Street (East Acton Station),3,Friday and Saturday 22:00 – 06:00,5987,,-0.2474664,51.5166167
128,Hammersmith and Fulham,Hammersmith Broadway (Hammersmith Station),4,24 hours,5396,,-0.2248261,51.493483
129,Hammersmith and Fulham,Hammersmith Road (Olympia),5,24 hours,3207,,-0.2106881,51.4965005
130,Hammersmith and Fulham,Hurlingham Road (Hurlingham Park),12,Only in operation during designated events,5882,,-0.2014554,51.4689986
131,Hammersmith and Fulham,Margravine Gardens (Barons Court Station),4,Friday and Saturday 22:00 – 06:00,5988,,-0.213467,51.4903046
132,Hammersmith and Fulham,Shortlands (Novotel London West Hotel),5,24 hours,4595,,-0.2198412,51.4920396
133,Hammersmith and Fulham,"Uxbridge Road, Shepherds Bush",3,24 hours,5552,,-0.2302985,51.506144
134,Hammersmith and Fulham,Wood Lane (White City Station),3,Friday and Saturday 22:00 – 06;00,,,-0.2244726,51.5119361
135,Haringey,Archway Road (Highgate Station),2,22:00 – 07:00,5981,TLRN,-0.14583,51.57753
136,Haringey,Alexandra Palace (East Car Park),10,Only in operation during designated larger events,5745,,-0.1307733,51.5941783
137,Haringey,Alexandra Palace (Outside main entrance to Palm Court/Bus Stop B),4,Only in operation during designated smaller events,5746,,-0.132877,51.593227
138,Haringey,"Crouch End Hill, Crouch End",2,24 hours,5615,,-0.1259942,51.5762676
139,Haringey,"Dukes Avenue, Muswell Hill",2,24 hours,5755,,-0.1370212,51.5934211
140,Haringey,High Road/Gladstone Avenue (Wood Green Station),7,24 hours,5527,,-0.1118522,51.6000125
141,Haringey,High Road (Lymington Avenue),2,24 hours,5564,,-0.1062917,51.593901
142,Haringey,Langham Road (Turnpike Lane Station),2,24 hours,5874,,-0.1029911,51.5905216
143,Haringey,Lordship Lane,2,24 hours,5526,,-0.0892143,51.5979094
144,Haringey,Seven Sisters Road (Seven Sisters Road),2,19:00 – 07:00,5982,Shared use parking bay,-0.0961361,51.5705191
145,Harrow,"Broadway Parade, Pinner Road",2,24 hours,4936,,-0.361614,51.5861305
146,Harrow,College Road (Harrow on the Hill Station),14,24 hours,5530,,-0.3362965,51.5798828
147,Harrow,Hailsham Drive (Harrow Court),3,24 hours,4979,,-0.3397867,51.593826
148,Harrow,Rayners Lane (Rayners Lane Station),4,24 hours,5693,,-0.3708618,51.5751034
149,Harrow,Service Road (Harrow and Wealdstone Station),3,24 hours,5401,,-0.3343863,51.5924252
150,Harrow,South Hill Avenue (South Harrow Station),2,24 hours,5391,,-0.3496579,51.5630034
151,Harrow,"Station Road, Harrow",3,24 hours,4903,,-0.332091,51.5842333
152,Havering,Atlanta Boulevard (northern arm),3,24 hours,5716,,0.1825884,51.5743335
153,Havering,Collier Row Road,2,24 hours,5858,,0.1521692,51.5975588
154,Havering,Crossways (Gidea Park Station),3,24 hours,4999,,0.2057849,51.5815288
155,Havering,Damyns Hall Aerodrome,20,Only in operation during designated events,5803,,0.245892,51.529245
156,Havering,Dolphin Approach,3,24 hours,4965,,0.1863697,51.5804736
157,Havering,Eastern Road (Romford Station),23,24 hours,5850,,0.1825151,51.5746711
158,Havering,Havana Close,2,24 hours,5574,,0.182542,51.5754068
159,Havering,High Street (George II)/Billet Lane,22,21:00 - 05:00,5852,,0.2186305,51.5657633
160,Havering,"High Street, Romford",21,24 hours,5848,,0.178787,51.5776379
161,Havering,"121 High Street, Hornchurch",2,18:00 – 06:00,5764,Shared use loading bay,0.2195375,51.5626061
162,Havering,"128 High Street, Hornchurch",3,18:00 – 06:00,5765,Shared use loading bay,0.2194211,51.5624015
163,Havering,"154 High Street, Hornchurch",3,24 hours,5766,,0.2202141,51.5620114
164,Havering,Hilldene Avenue,2,24 hours,5883,,0.215546,51.6065749
165,Havering,Station Lane (Hornchurch Station),2,24 hours,6019,,0.2190275,51.5540693
166,Havering,Leather Lane (Sainsbury’s),3,24 hours,5001,,0.2182913,51.5630637
167,Havering,London Road (Romford Stadium),3,22:00 – 23.00,5147,,0.166125,51.572335
168,Havering,Station Road/Hall Lane (Upminster Station),9,24 hours,4865,,0.2506216,51.5589642
169,Havering,Station Road (Harold Wood Station),6,24 hours,4693,,0.23315,51.59277
170,Havering,The Broadway (Elm Park Station),10,24 hours,5547,,0.1991651,51.5498806
171,Havering,Upminster Road (Upminster Bridge Station),4,18:00 – 07:30,5857,Shared use loading bay,0.235789,51.5588837
172,Hillingdon,Great Central Avenue (South Ruislip Station),2,24 hours,3569,,-0.398232,51.556279
173,Hillingdon,"High Street, (Uxbridge Station)",7,24 hours,5605,,-0.4780527,51.5464419
174,Hillingdon,Reservoir Road (Ruislip Lido),2,24 hours,3763,,-0.434535,51.5905715
175,Hillingdon,Ruislip Gardens Station Service Road (Ruislip Gardens Station),2,24 hours,5949,,-0.4109083,51.5605373
176,Hillingdon,Station Approach (Ruislip Station),2,24 hours,5945,,-0.3986203,51.5565782
177,Hounslow,Bath Road (Hounslow West Station),2,24 hours,5556,,-0.3857189,51.4731166
178,Hounslow,Boston Manor Road (Boston Manor Park),12,Only in operation during designated events,5881,,-0.3186922,51.4895012
179,Hounslow,Chiswick High Road (Gunnersbury Station),2,24 hours,5551,,-0.2754301,51.4914991
180,Hounslow,Great West Road (Osterley Station),2,24 hours,6013,,-0.3494841,51.4815103
181,Hounslow,"Heathfield Terrace, Chiswick",2,24 hours,5218,,-0.2654603,51.4914503
182,Hounslow,Lampton Road,2,24 hours,5597,,-0.3658363,51.4738594
183,Hounslow,Turnham Green Terrace (Turnham Green Station),4,24 hours,5494,,-0.2549973,51.4953024
184,Islington,Berners Road (Business Design Centre),2,24 hours,5435,,-0.1047954,51.5355906
185,Islington,Britannia Walk (Montcalm Hotel),2,24 hours,5885,,-0.0889875,51.527688
186,Islington,Bunhill Row,3,24 hours,5477,,-0.0898283,51.5230782
187,Islington,Charterhouse Street,7,13: 00 – 07:00,5791,,-0.1029867,51.5192836
188,Islington,City Road (Moorfields Eye Hospital),2,24 hours,5116,TLRN,-0.0897546,51.5274163
189,Islington,Duncan Street (Camden Passage),1,24 hours,5384,,-0.1043714,51.5347817
190,Islington,Finsbury Park (Bus Station/Station Place),4,    1st portion operates 24 hours     2nd portion operates 19:00 – 07:00,5870,"2nd portion is in a shared use loading bay
Island rank Haringey drivers",-0.10626,51.5643
191,Islington,Finsbury Pavement,4,24 hours,5290,,-0.0874254,51.5199229
192,Islington,"Finsbury Square (North West Corner), City Road",5,24 hours,5807,,-0.0857184,51.5210194
193,Islington,Goswell Road (Citadines Apart’Hotel),2,24 hours,5155,,-0.0976554,51.5219351
194,Islington,Gwynne Place (Travelodge),2,24 hours,5570,,-0.1142593,51.5271661
195,Islington,Holloway Road (Waitrose),2,24 hours,5136,TLRN,-0.1041767,51.5469118
196,Islington,"Junction Road, Archway",4,19:00 – 02:00,5786,"Island rank
Haringey drivers",-0.1362607,51.5623492
197,Islington,Lever Street (The Thistle City Barbican Hotel),3,24 hours,5044,,-0.0959396,51.5275353
198,Islington,Liverpool Road (Sainsbury’s),4,24 hours,5720,,-0.1075263,51.5342122
199,Islington,Ropemaker Street,3,24 hours,5643,,-0.0887139,51.5196271
200,Kensington and Chelsea,Brompton Road (Harrods),8,24 hours,5318,TLRN,-0.163769,51.4998652
201,Kensington and Chelsea,Brompton Road (The Collection),2,21:00 – 03:00,5757,,-0.1691186,51.4940077
202,Kensington and Chelsea,Cadogan Place (Jumeirah Carlton Tower),5,24 hours,5152,,-0.1583237,51.4984732
203,Kensington and Chelsea,Cadogan Place/Pont Street,18,24 hours,5479,Refreshment rank,-0.1576728,51.4973568
204,Kensington and Chelsea,Chesham Place (Belgraves),2,24 hours,5616,,-0.1557603,51.49621
205,Kensington and Chelsea,Cheyne Walk (western arm),1,24 hours,4713,,-0.1704918,51.4827846
206,Kensington and Chelsea,Courtfield Road (Holiday Inn),2,24 hours,5719,,-0.1852035,51.4942548
207,Kensington and Chelsea,Courtfield Road (Gloucester Road Station),3,24 hours,5084,,-0.1827368,51.4938704
208,Kensington and Chelsea,Cromwell Gardens (V & A Museum),5,24 hours,5319,TLRN,-0.17218,51.4966392
209,Kensington and Chelsea,Cromwell Road (Bratts),3,00:00 – 06:00,5111,TLRN,-0.183835,51.495171
210,Kensington and Chelsea,Cromwell Road (Natural History Museum),2,24 hours,5817,TLRN,-0.1763672,51.496715
211,Kensington and Chelsea,Cromwell Road (Queensberry Place),2,00:00 – 06:00,5577,TLRN,-0.1776276,51.4953851
212,Kensington and Chelsea,Derry Street (Roof Gardens,2,24 hours,5663,,-0.191896,51.5010225
213,Kensington and Chelsea,Earl’s Court Road (Earl’s Court Station),2,22:00 – 07:00,5835,"TLRN
Shared use loading bay",-0.1930925,51.492186
214,Kensington and Chelsea,Hans Crescent/Basil Street (Harrods),8,24 hours,5658,,-0.161589,51.500036
215,Kensington and Chelsea,Hans Road (Harrods door 10),4,24 hours,5514,,-0.1630642,51.4985032
216,Kensington and Chelsea,Harrington Gardens (Millennium Gloucester London Hotel),5,24 hours,4580,,-0.1834346,51.4935083
217,Kensington and Chelsea,Harrington Road (South Kensington Station),11,24 hours,5666,,-0.1755238,51.4940056
218,Kensington and Chelsea,Holland Park Avenue (London Kensington Hilton),6,24 hours,5299,,-0.2146577,51.504852
219,Kensington and Chelsea,Kensington High Street (Bodo Schloss),2,22:00 – 05:00,5892,,-0.1880105,51.502662
220,Kensington and Chelsea,Kensington Park Road (Ladbroke Road),18,24 hours,3995,Refreshment rank,-0.1977726,51.5098561
221,Kensington and Chelsea,Kensington Road (Broadwalk),12,24 hours,5149,Refreshment rank,-0.1838797,51.5017249
222,Kensington and Chelsea,Kensington Road (Kensington Court),3,24 hours,4858,,-0.1868664,51.5022554
223,Kensington and Chelsea,King’s Road (Duke of York’s Square),3,24 hours,5465,,-0.1588201,51.4914553
224,Kensington and Chelsea,King’s Road (Bluebird),2,13:00 – 02:00,5313,,-0.1754714,51.4849911
225,Kensington and Chelsea,King’s Road (Raffles),2,22:00 – 05:00,5694,,-0.1737107,51.4853335
226,Kensington and Chelsea,Lower Sloane Street (Sloane Club),1,24 hours,5091,,-0.1571699,51.4905254
227,Kensington and Chelsea,Pavilion Road (Millennium Knightsbridge Hotel),1,24 hours,5160,,-0.1605381,51.4993756
228,Kensington and Chelsea,Portobello Road (Electric Diner),3,21:00 – 03:00,5790,,-0.2048939,51.5155701
229,Kensington and Chelsea,Queen's Gate (Kensington Road),1,24 hours,4435,,-0.1803884,51.5014618
230,Kensington and Chelsea,Queen's Gate (Old Brompton Road),3,24 hours,4034,,-0.1783104,51.492096
231,Kensington and Chelsea,Royal Hospital Chelsea (Chelsea Flower Show),9,Only in operation during the Chelsea Flower show,5754,,-0.1575795,51.4875836
232,Kensington and Chelsea,Russell Road (London Olympia Hilton),6,24 hours,5496,,-0.2065722,51.4965767
233,Kensington and Chelsea,Scarsdale Place (Copthore London Tara Hotel),5,24 hours,4556,,-0.1908758,51.4985245
234,Kensington and Chelsea,Seville Street (Sheraton Park Tower),6,24 hours,4638,,-0.1588168,51.5016786
235,Kensington and Chelsea,Sloane Avenue (Conrans),3,24 hours,5322,,-0.1683046,51.4931498
236,Kensington and Chelsea,Sloane Avenue (Nell Gwynne House),1,24 hours,4928,,-0.1649474,51.4923053
237,Kensington and Chelsea,Sloane Square,9,24 hours,5512,,-0.1570174,51.4927684
238,Kensington and Chelsea,Thurloe Place,13,24 hours,4645,"TLRN
Refreshment rank",-0.1720536,51.4956319
239,Kensington and Chelsea,Walton Street,2,22:00 – 05:00,5706,,-0.1652466,51.4958228
240,Kensington and Chelsea,Westbourne Grove (Portobello Road),4,24 hours,5622,,-0.203011,51.5135654
241,Kingston Upon Thames,Clarence Street (John Lewis),6,24 hours,5707,,-0.306354,51.4115262
242,Kingston Upon Thames,Clarence Street (Pryzm),8,    1st Portion operates 20:00 - 07:00     2nd Portion operates 22:00 - 07:00,5446,,-0.3000426,51.4115487
243,Kingston Upon Thames,Clarence Street (Weston Park),3,24 hours,5215,,-0.3015651,51.4107712
244,Kingston Upon Thames,Down Hall Road (Hilton Double Tree Hotel),2,24 hours,6010,,-0.3053273,51.4134885
245,Kingston Upon Thames,Eden Street (Primark),4,24 hours,5427,,-0.3027007,51.4096586
246,Kingston Upon Thames,High Street (Rose Theatre),4,    1st portion operates 19:00 - 02:00     2nd portion operates 10:30 - 02:00,5781,,-0.3075842,51.4086289
247,Kingston Upon Thames,"High Street, New Malden",3,Mondays to Saturdays 08:00 - 18:30,5561,,-0.2559806,51.4012077
248,Kingston Upon Thames,Surbiton Parade (Surbiton Station),5,24 hours,4980,,-0.3030717,51.3935289
249,Kingston Upon Thames,Union Street (The Hippodrome),2,21:30 - 07:00,5661,,-0.3053987,51.4099347
250,Kingston Upon Thames,Victoria Road (Sainsbury’s),1,24 hours,5221,,-0.3029537,51.4157931
251,Kingston Upon Thames,Wood Street (Kingston Station),5,05:00 – 22:30,6020,South Side,-0.3012275,51.4126953
252,Kingston Upon Thames,Wood Street (Kingston Station),5,22:30 – 05:00,6021,North Side,-0.3012275,51.4126953
253,Lambeth,Albert Embankment (Park Plaza Riverbank Hotel),2,24 hours,5581,,-0.1214208,51.491367
254,Lambeth,Belvedere Road (London Eye),2,24 hours,5563,,-0.1183974,51.5039786
255,Lambeth,Clapham High Street,9,19:00 - 07:00,5787,"TLRN
Shared use loading bay
Island Rank Clapham extension area",-0.1332395,51.4635178
256,Lambeth,Clapham Road (Stockwell Station),2,19:00 – 07:00,6014,"TLRN
Shared use loading bay",-0.1232276,51.4714517
257,Lambeth,Kennington Oval (East side),3,24 hours,5134,,-0.1139703,51.4831028
258,Lambeth,Lambeth Road (Novotel),3,24 hours,5314,,-0.1186849,51.494665
259,Lambeth,"South Lambeth Place, Vauxhall",4,24 hours,5533,TLRN,-0.1233208,51.4853813
260,Lambeth,South Lambeth Road (Vauxhall Station),2,24 hours,5490,,-0.1227808,51.4860794
261,Lambeth,The Pavement (Clapham Common Station),11,24 hours,5793,TLRN,-0.1383884,51.461786
262,Lambeth,Upper Ground (ITV),1,24 hours,5279,,-0.111836,51.5073312
263,Lewisham,Amersham Vale (New Cross Station),3,24 hours,5345,,-0.0316124,51.4770548
264,Lewisham,Fernbrook Road (Hither Green Station),5,    1st portion operates 24 hours     2nd portion operates 16:00 – 07:00,6011,2nd portion shared use loading bay,-0.0002629,51.4531038
265,Lewisham,Lewis Grove/Albion Way,7,24 hours,6003,,-0.0096503,51.4606994
266,Lewisham,Lewisham Station,19,24 hours,6002,,-0.0131213,51.4652098
